model_name,model_size,fine_tuned_dataset,fine_tuned_language,eval_dataset,eval_language,regime,score_mean,score_std,score_base_mean,score_base_std,score_norm_mean,score_norm_std,score_norm_base_mean,score_norm_base_std,delta_score_mean,delta_score_std,delta_score_norm_mean,delta_score_norm_std,n_seeds,score_se,score_base_se,score_norm_se,score_norm_base_se,delta_score_se,delta_score_norm_se
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,arc_challenge,ar,MT-CL,0.325,0.0213600093632938,0.3216666666666667,0.0202072594216369,0.3508333333333333,0.0296155927398614,0.3508333333333333,0.0317542648054293,0.3333333333333317,0.1443375672974033,0.0,0.2500000000000002,3,0.0123322071557906,0.0116666666666666,0.0170985704405693,0.0183333333333333,0.0833333333333315,0.1443375672974065
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,arc_challenge,bn,MT-ML,0.2383333333333333,0.0125830573921179,0.2383333333333333,0.0180854453451755,0.3125,0.0075,0.3125,0.0152069063257455,0.0,0.9013878188659982,0.0,0.9013878188659982,3,0.0072648315725677,0.0104416367384513,0.0043301270189222,0.0087797114607106,0.5204164998665337,0.5204164998665337
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,arc_challenge,de,MT-CL,0.3908333333333333,0.0080363756341608,0.3833333333333333,0.0038188130791298,0.445,0.0304138126514911,0.4358333333333333,0.0190940653956493,0.7500000000000006,0.9013878188659982,0.9166666666666676,1.282900359861722,3,0.0046398036356917,0.0022047927592205,0.0175594229214212,0.0110239637961024,0.5204164998665337,0.7406828681096331
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,arc_challenge,en,MT-CL,0.5158333333333333,0.0292973263854115,0.515,0.0241091269024823,0.5533333333333333,0.0262599187609811,0.5516666666666666,0.0212622513702884,0.0833333333333315,0.5204164998665327,0.1666666666666631,0.5204164998665327,3,0.0169148192751536,0.013919410907075,0.0151611711655501,0.0122757665522135,0.3004626062886655,0.3004626062886655
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,arc_challenge,es,MT-CL,0.4175,0.0174999999999999,0.4133333333333333,0.0212622513702884,0.4575,0.0263391343821318,0.4441666666666666,0.0237609623823054,0.4166666666666652,0.7216878364870296,1.3333333333333328,0.3818813079129839,3,0.0101036297108184,0.0122757665522135,0.0152069063257455,0.0137183980276286,0.4166666666666652,0.2204792759220476
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,arc_challenge,fr,MT-CL,0.4083333333333334,0.0166458202961984,0.4141666666666666,0.0160727512683215,0.4441666666666666,0.0184277869895799,0.4375,0.0173205080756887,-0.583333333333332,0.3818813079129839,0.6666666666666673,0.381881307912987,3,0.0096104688288923,0.0092796072713833,0.010639287779003,0.01,0.2204792759220476,0.2204792759220494
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,arc_challenge,hi,MT-CL,0.2716666666666666,0.0202072594216368,0.2675,0.0175,0.3125,0.013919410907075,0.3,0.005,0.4166666666666652,1.0103629710818431,1.250000000000001,1.2990381056766591,3,0.0116666666666666,0.0101036297108184,0.0080363756341608,0.0028867513459481,0.5833333333333323,0.7500000000000007
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,arc_challenge,id,MT-CL,0.3433333333333333,0.0158771324027146,0.3424999999999999,0.0198431348329844,0.3725,0.028831406486677,0.3799999999999999,0.0288314064866769,0.0833333333333334,0.5204164998665336,-0.7499999999999988,3.212940164695817e-15,3,0.0091666666666666,0.0114564392373896,0.0166458202961985,0.0166458202961984,0.300462606288666,1.8549918689772906e-15
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,arc_challenge,it,MT-CL,0.4016666666666666,0.0237609623823054,0.3974999999999999,0.0238484800354236,0.4391666666666666,0.0125830573921179,0.4358333333333333,0.0062915286960589,0.4166666666666689,1.040832999733064,0.3333333333333336,0.6291528696058964,3,0.0137183980276286,0.0137689263682152,0.0072648315725677,0.0036324157862839,0.6009252125773302,0.3632415786283898
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,arc_challenge,pt,MT-CL,0.4191666666666667,0.0170171482138851,0.4133333333333333,0.0158771324027146,0.4599999999999999,0.0114564392373895,0.4541666666666666,0.0104083299973306,0.5833333333333338,0.381881307912987,0.583333333333332,0.6291528696058935,3,0.0098248551021263,0.0091666666666666,0.0066143782776614,0.0060092521257733,0.2204792759220494,0.3632415786283881
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,arc_challenge,zh,MT-CL,0.3708333333333333,0.0170171482138851,0.3716666666666666,0.0203613195381177,0.4524999999999999,0.0281735691739616,0.4458333333333333,0.0316556998553709,-0.0833333333333334,0.381881307912987,0.6666666666666673,0.5773502691896263,3,0.0098248551021263,0.0117556133163882,0.0162660177466192,0.0182764268328844,0.2204792759220494,0.3333333333333336
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,global_mmlu,ar,CT-CL,0.4358333333333333,0.0448841100316507,0.4541666666666666,0.001443375672974,0.4358333333333333,0.0448841100316507,0.4541666666666666,0.001443375672974,-1.8333333333333348,4.346933785248323,-1.8333333333333348,4.346933785248323,3,0.0259138530091103,0.0008333333333333,0.0259138530091103,0.0008333333333333,2.5097033910625983,2.5097033910625983
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,global_mmlu,bn,CT-ML,0.4133333333333333,0.0128290035986172,0.4275,0.0043301270189222,0.4133333333333333,0.0128290035986172,0.4275,0.0043301270189222,-1.416666666666666,1.6266017746619268,-1.416666666666666,1.6266017746619268,3,0.0074068286810963,0.0025,0.0074068286810963,0.0025,0.9391189724653864,0.9391189724653864
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,global_mmlu,de,CT-CL,0.5408333333333334,0.0052041649986652,0.5208333333333334,0.001443375672974,0.5408333333333334,0.0052041649986652,0.5208333333333334,0.001443375672974,2.0000000000000018,0.5000000000000003,2.0000000000000018,0.5000000000000003,3,0.0030046260628866,0.0008333333333333,0.0030046260628866,0.0008333333333333,0.2886751345948131,0.2886751345948131
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,global_mmlu,en,CT-CL,0.6391666666666667,0.0057735026918962,0.6225,0.0,0.6391666666666667,0.0057735026918962,0.6225,0.0,1.6666666666666572,0.5773502691896263,1.6666666666666572,0.5773502691896263,3,0.0033333333333333,0.0,0.0033333333333333,0.0,0.3333333333333336,0.3333333333333336
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,global_mmlu,es,CT-CL,0.6075,0.0025,0.6041666666666666,0.0028867513459481,0.6075,0.0025,0.6041666666666666,0.0028867513459481,0.3333333333333299,0.1443375672974098,0.3333333333333299,0.1443375672974098,3,0.001443375672974,0.0016666666666666,0.001443375672974,0.0016666666666666,0.0833333333333352,0.0833333333333352
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,global_mmlu,fr,CT-CL,0.5325000000000001,0.0108972473588516,0.5233333333333333,0.0014433756729741,0.5325000000000001,0.0108972473588516,0.5233333333333333,0.0014433756729741,0.9166666666666692,1.0103629710818427,0.9166666666666692,1.0103629710818427,3,0.0062915286960589,0.0008333333333333,0.0062915286960589,0.0008333333333333,0.583333333333332,0.583333333333332
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,global_mmlu,hi,CT-CL,0.4866666666666666,0.0057735026918962,0.4666666666666666,0.002886751345948,0.4866666666666666,0.0057735026918962,0.4666666666666666,0.002886751345948,1.999999999999998,0.866025403784436,1.999999999999998,0.866025403784436,3,0.0033333333333333,0.0016666666666666,0.0033333333333333,0.0016666666666666,0.4999999999999985,0.4999999999999985
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,global_mmlu,id,CT-CL,0.465,0.0156124949959959,0.4425,0.0043301270189222,0.465,0.0156124949959959,0.4425,0.0043301270189222,2.2499999999999987,1.299038105676656,2.2499999999999987,1.299038105676656,3,0.0090138781886599,0.0025,0.0090138781886599,0.0025,0.7499999999999989,0.7499999999999989
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,global_mmlu,it,CT-CL,0.5666666666666668,0.0062915286960589,0.5558333333333333,0.001443375672974,0.5666666666666668,0.0062915286960589,0.5558333333333333,0.001443375672974,1.0833333333333324,0.6291528696058935,1.0833333333333324,0.6291528696058935,3,0.0036324157862839,0.0008333333333333,0.0036324157862839,0.0008333333333333,0.3632415786283881,0.3632415786283881
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,global_mmlu,pt,CT-CL,0.235,0.0,0.235,0.0,0.235,0.0,0.235,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0
Llama-3.1-8B-Instruct,8.0,arc_challenge,bn,global_mmlu,zh,CT-CL,0.5425,0.0125,0.5358333333333333,0.001443375672974,0.5425,0.0125,0.5358333333333333,0.001443375672974,0.6666666666666673,1.258305739211793,0.6666666666666673,1.258305739211793,3,0.0072168783648703,0.0008333333333333,0.0072168783648703,0.0008333333333333,0.7264831572567796,0.7264831572567796
